5452 USA|IL Robot to the Knee
5459 USA|NC Syntax Error
5465 USA|VA Lebanon Lab Rats
5466 USA|IA Combustible Lemons
5477 USA|NY Innovo
5481 USA|MO The Crusaders
5484 USA|NY EnderBot
5485 USA|NY GorillaBots
5488 USA|PA Robo Dragons
5494 USA|GA Oscar
5495 USA|IL Iron Eagles
5498 USA|CA Cougarobotics Omega
5501 USA|OH USS Enterprise 
5506 USA|PA Edison Robo Owls
5514 USA|PA Parkway RoboHounds
5518 USA|CT Dutchman's Derivatives
5520 USA|CT Binary Buccaneers
5527 USA|VA Dynamic GEARS
5540 USA|CA Skynet
5543 USA|IN Game of Drones
5549 USA|NC Blue Shift
5553 USA|OK RoboComets
5559 USA|MI RoboHawks Green
5560 USA|MO The Crusaders 2
5573 USA|NJ RoboCougars
5598 USA|TX The PIT Crew
5604 USA|WA Thunderbots
5611 USA|NE Robo Bears
5618 USA|MI Control Freaks RED
5619 USA|WA Horizon
5627 USA|OR Robotics Quasar Alliance
5628 USA|TX The Tau Manifesto
5637 USA|NY Tech-Wise Guys
5641 USA|MI Devil bots red team
5647 USA|GA Kemet Robotics
5661 USA|AZ Wolves Robotics 1
5663 USA|MI Twisted Devils Red
5664 USA|AK Cyber Wolves
5667 USA|UT Robominers
5670 USA|TX Dragons
5678 USA|CT Cardinal
5681 USA|TX Robo Pirates - MARAUDERS
5683 USA|TX The Leviathans 
5686 USA|OR Cog-nation
5687 USA|NV Cyber Mafia
5703 USA|MO Doppler Effect
5708 USA|OR VikingFIRST
5709 USA|MD Gators
5710 USA|MA Titans
5711 USA|NY LaGBotics
5714 USA|TX Shambots
5717 USA|NJ Team GEAR UP!
5734 USA|MO Robo Jag-Wires
5736 USA|MN RoboSix
5738 USA|TX MoHawk Warriors Blue
5741 USA|VT CVU RoboHawks
5754 USA|OH Marburn Academy Marbotics
5755 USA|CA Tri-Force-Droids
5764 USA|TX Blue Sabers
5772 USA|NY Robo Knights
5773 USA|CA Ink and Metal
5784 Australia|NSW Mechanical Drop Bears
5795 USA|NC Back  To The Drawing Board
5802 USA|TX Mustang Metal
5804 USA|UT Compiling Error
5814 USA|MT The Chickens
5815 USA|TX Disgruntled Robots
5827 USA|CA Chimera Gears
5828 USA|CA E.M.P. Chaos
5862 USA|PA TechnoTigers
5872 USA|VA MAVERICS
5873 USA|NJ Dragon Terminators
5881 USA|NC Tungsteel
5889 USA|CA Cyberians
5891 USA|TX Redneck Engineering
5893 USA|MO Direct Current
5897 USA|MA HackHers
5898 USA|GA Galactic Lions
5899 USA|CO Hungry Hungry Hippogriffs
5902 USA|HI Team Musubi
5904 USA|VA The Varsity Team
